problem_id,submission_id,technique,bleu_score,explicit_jaccard,implicit_structural,fusion_semantic_score,h_obfuscated,h_deobfuscated,delta_entropy,halstead_effort_gt,halstead_effort_obf,halstead_effort_rec,readability_improvement_pct,testcase_pass_rate,binary_size_reduction_pct
p03591,s609556207,bcf_instsub,0.9721021803366059,0.9487179487179487,1.0,0.9794871794871794,5.616064793672539,5.528104020136683,0.08796077353585563,1556702.233084812,1641738.6207208305,1556702.233084812,5.179654456729654,100.0,30.767236910316225
p03591,s609556207,fla,0.9721021803366059,0.9487179487179487,1.0,0.9794871794871794,5.590352402880005,5.528104020136683,0.062248382743321784,1556702.233084812,1578014.6308283408,1556702.233084812,1.3505830254781148,100.0,5.7868736767819335
p03591,s609556207,fla_bcf,0.9721021803366059,0.9487179487179487,1.0,0.9794871794871794,5.633564204615918,5.528104020136683,0.10546018447923444,1556702.233084812,1583727.4193247939,1556702.233084812,1.7064291436908823,100.0,30.767236910316225
p03591,s609556207,fla_bcf_instsub,0.9721021803366059,0.9487179487179487,1.0,0.9794871794871794,5.670849509563824,5.528104020136683,0.14274548942714027,1556702.233084812,1682116.5097233732,1556702.233084812,7.45574256679674,100.0,38.8558352402746
p03591,s609556207,fla_instsub,0.9721021803366059,0.9487179487179487,1.0,0.9794871794871794,5.630035241528926,5.528104020136683,0.10193122139224275,1556702.233084812,1674018.7797679706,1556702.233084812,7.008078290460953,100.0,5.751587861679605
p03591,s609556207,instsub,0.9721021803366059,0.9487179487179487,1.0,0.9794871794871794,5.571992029302373,5.528104020136683,0.04388800916568947,1556702.233084812,1635734.5845714519,1556702.233084812,4.831612184035689,100.0,-15.030146425495264
p03620,s614402567,bcf,0.8624271711672373,0.8695652173913043,1.0,0.9478260869565217,5.526599580897782,5.526599580897782,0.0,668845.7542708188,668845.7542708188,668845.7542708188,0.0,100.0,10.991379310344827
p03620,s614402567,bcf_instsub,0.8624271711672373,0.8695652173913043,1.0,0.9478260869565217,5.526599580897782,5.526599580897782,0.0,668845.7542708188,668845.7542708188,668845.7542708188,0.0,100.0,27.04802259887006
p03620,s614402567,fla,0.8624271711672373,0.8695652173913043,1.0,0.9478260869565217,5.526599580897782,5.526599580897782,0.0,668845.7542708188,668845.7542708188,668845.7542708188,0.0,100.0,10.991379310344827
p03620,s614402567,fla_bcf,0.8624271711672373,0.8695652173913043,1.0,0.9478260869565217,5.526599580897782,5.526599580897782,0.0,668845.7542708188,668845.7542708188,668845.7542708188,0.0,100.0,38.24760765550239
